x,y,anomaly,image,recon_error
-15.933173,16.86224,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0001.png,0.0021271126
-16.442108,21.215593,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0002.png,0.0014932022
-15.906189,18.002008,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0003.png,0.0018079432
-17.975407,24.286793,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0004.png,0.0011642504
-31.06596,19.869312,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0005.png,0.0014200252
-18.102934,24.356758,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0006.png,0.0013673941
-16.749065,13.998212,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0007.png,0.0028329764
-27.432547,23.044136,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0008.png,0.001833566
-39.352207,32.551834,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0009.png,0.0009803838
-17.383524,22.82854,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0010.png,0.0014567852
-16.714056,13.687545,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0011.png,0.002195698
-16.488766,14.518238,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0012.png,0.002232337
-23.772257,30.806858,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0013.png,0.0009626228
-31.320734,13.360465,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0014.png,0.0011666847
-45.382504,26.991468,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0015.png,0.00077440834
-32.02212,34.100468,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0016.png,0.001002608
-47.90616,5.745372,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0017.png,0.0008612296
-25.09501,30.236063,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0018.png,0.0011553
-18.450737,24.954494,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0019.png,0.0014872534
-25.933073,30.676413,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0020.png,0.0016382139
-16.075787,20.221851,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0021.png,0.0015413654
-16.552153,17.332766,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0022.png,0.0016509912
-18.109892,18.998022,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0023.png,0.0015710166
-30.989212,8.585923,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0024.png,0.001518559
-48.17053,15.161467,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0025.png,0.000753055
-44.157,27.89977,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0026.png,0.0011688679
-29.925352,10.9734745,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0027.png,0.0028215337
-29.00544,21.184153,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0028.png,0.0017168324
-31.175362,34.31395,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0029.png,0.0012874056
-19.389591,25.120481,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0030.png,0.001734431
-15.907992,17.294106,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0031.png,0.0019701382
-33.446213,34.1669,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0032.png,0.00082584284
-48.53496,3.928369,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0033.png,0.00058509095
-29.810205,10.192007,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0034.png,0.0014633576
-48.13028,4.863526,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0035.png,0.00074657256
-45.66588,26.71771,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0036.png,0.0011039253
-29.519342,20.740389,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0037.png,0.00236423
-42.538143,26.626396,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0038.png,0.0012341489
-22.239052,-25.104523,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0039.png,0.0014458639
-44.03514,12.928047,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0040.png,0.0010943755
-17.977217,25.173206,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0041.png,0.0011074381
-37.564564,34.159267,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0042.png,0.0007533449
-48.267254,6.039619,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0043.png,0.00060100056
-24.980501,30.297678,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0044.png,0.0011145455
-27.096743,23.433456,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0045.png,0.0018239988
-30.119003,12.107076,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0046.png,0.0022392683
-0.1297324,-5.6146307,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0047.png,0.0021307769
26.349838,42.49048,1,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0048.png,0.0031721
-48.119667,15.801126,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0049.png,0.0008903988
-44.943367,27.002378,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0050.png,0.0006560857
-20.588654,27.731745,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0051.png,0.001220659
-27.531935,32.263924,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0052.png,0.0009835389
-38.114807,8.89771,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0053.png,0.0011503868
-28.471464,21.883263,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0054.png,0.0015916596
-17.963017,21.800014,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0055.png,0.001984382
-47.565205,5.910538,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0056.png,0.0012884706
-32.23748,8.889912,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0057.png,0.0016921323
-49.95289,25.567022,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0058.png,0.00079046737
-48.011272,15.444633,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0059.png,0.0011034143
-37.451466,34.926395,0,/Users/azizahalq/Desktop/solar_flask_app/solar_dataset/images/cell0060.png,0.0010103148
